@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,7-16'

@attribute Topic numeric
@attribute Stratification2 numeric
@attribute Geolocation numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
33,6,34,'Nutrition/Physical Activity/Obesity'
33,3,6,'Nutrition/Physical Activity/Obesity'
20,6,22,'Overall Health'
20,7,46,'Overall Health'
11,6,30,'Nutrition/Physical Activity/Obesity'
35,7,18,'Overall Health'
26,3,34,Caregiving
9,1,40,'Nutrition/Physical Activity/Obesity'
38,1,6,'Overall Health'
29,7,54,'Overall Health'
32,5,11,'Nutrition/Physical Activity/Obesity'
1,5,29,'Mental Health'
16,7,51,'Mental Health'
20,5,13,'Overall Health'
16,6,46,'Mental Health'
23,6,39,Caregiving
16,7,28,'Mental Health'
31,6,15,'Cognitive Decline'
4,3,26,'Screenings and Vaccines'
39,3,20,'Overall Health'
39,6,12,'Overall Health'
32,6,29,'Nutrition/Physical Activity/Obesity'
4,5,20,'Screenings and Vaccines'
17,3,21,'Cognitive Decline'
6,1,18,'Screenings and Vaccines'
39,5,28,'Overall Health'
27,2,37,Caregiving
29,3,2,'Overall Health'
3,5,9,'Overall Health'
9,4,47,'Nutrition/Physical Activity/Obesity'
19,6,22,'Overall Health'
18,3,17,'Cognitive Decline'
1,1,39,'Mental Health'
4,7,31,'Screenings and Vaccines'
14,5,22,'Screenings and Vaccines'
10,1,10,'Screenings and Vaccines'
33,4,45,'Nutrition/Physical Activity/Obesity'
30,5,5,'Cognitive Decline'
3,2,21,'Overall Health'
22,6,12,'Overall Health'
13,6,21,'Screenings and Vaccines'
21,6,14,'Overall Health'
29,2,16,'Overall Health'
28,3,43,'Overall Health'
4,7,23,'Screenings and Vaccines'
29,6,27,'Overall Health'
29,7,12,'Overall Health'
12,6,25,'Smoking and Alcohol Use'
9,3,32,'Nutrition/Physical Activity/Obesity'
32,7,41,'Nutrition/Physical Activity/Obesity'
13,5,46,'Screenings and Vaccines'
28,6,28,'Overall Health'
2,6,4,'Overall Health'
24,4,1,Caregiving
20,6,48,'Overall Health'
20,5,32,'Overall Health'
38,7,9,'Overall Health'
16,1,52,'Mental Health'
22,5,11,'Overall Health'
1,1,11,'Mental Health'
37,1,4,'Screenings and Vaccines'
11,7,48,'Nutrition/Physical Activity/Obesity'
36,2,4,'Screenings and Vaccines'
15,7,31,'Smoking and Alcohol Use'
9,2,11,'Nutrition/Physical Activity/Obesity'
15,7,15,'Smoking and Alcohol Use'
24,4,53,Caregiving
16,4,20,'Mental Health'
14,5,51,'Screenings and Vaccines'
15,7,34,'Smoking and Alcohol Use'
31,6,12,'Cognitive Decline'
5,2,6,'Screenings and Vaccines'
9,3,18,'Nutrition/Physical Activity/Obesity'
38,6,39,'Overall Health'
16,5,51,'Mental Health'
16,5,12,'Mental Health'
6,7,1,'Screenings and Vaccines'
19,3,53,'Overall Health'
32,2,3,'Nutrition/Physical Activity/Obesity'
38,5,16,'Overall Health'
38,6,9,'Overall Health'
19,3,23,'Overall Health'
20,2,25,'Overall Health'
12,4,39,'Smoking and Alcohol Use'
9,7,20,'Nutrition/Physical Activity/Obesity'
7,3,36,'Screenings and Vaccines'
25,4,39,Caregiving
3,2,32,'Overall Health'
22,5,16,'Overall Health'
8,5,21,'Screenings and Vaccines'
6,5,32,'Screenings and Vaccines'
16,6,11,'Mental Health'
4,7,50,'Screenings and Vaccines'
1,3,24,'Mental Health'
15,6,27,'Smoking and Alcohol Use'
22,6,51,'Overall Health'
15,5,17,'Smoking and Alcohol Use'
9,6,17,'Nutrition/Physical Activity/Obesity'
12,2,43,'Smoking and Alcohol Use'
38,4,53,'Overall Health'
7,7,28,'Screenings and Vaccines'
29,3,8,'Overall Health'
19,4,30,'Overall Health'
11,2,54,'Nutrition/Physical Activity/Obesity'
39,6,15,'Overall Health'
16,5,17,'Mental Health'
20,5,36,'Overall Health'
21,5,29,'Overall Health'
5,2,16,'Screenings and Vaccines'
14,2,21,'Screenings and Vaccines'
35,5,38,'Overall Health'
27,4,26,Caregiving
23,4,31,Caregiving
9,4,54,'Nutrition/Physical Activity/Obesity'
29,6,38,'Overall Health'
15,1,35,'Smoking and Alcohol Use'
36,4,40,'Screenings and Vaccines'
22,2,12,'Overall Health'
36,5,53,'Screenings and Vaccines'
31,6,40,'Cognitive Decline'
13,7,1,'Screenings and Vaccines'
20,6,12,'Overall Health'
11,7,18,'Nutrition/Physical Activity/Obesity'
31,7,35,'Cognitive Decline'
39,5,30,'Overall Health'
22,4,49,'Overall Health'
25,7,27,Caregiving
12,4,36,'Smoking and Alcohol Use'
23,6,9,Caregiving
36,6,52,'Screenings and Vaccines'
29,1,28,'Overall Health'
19,6,10,'Overall Health'
21,6,5,'Overall Health'
4,7,10,'Screenings and Vaccines'
11,2,9,'Nutrition/Physical Activity/Obesity'
22,2,26,'Overall Health'
25,5,31,Caregiving
22,7,28,'Overall Health'
9,5,16,'Nutrition/Physical Activity/Obesity'
28,7,20,'Overall Health'
35,2,48,'Overall Health'
13,6,14,'Screenings and Vaccines'
6,1,49,'Screenings and Vaccines'
1,4,18,'Mental Health'
12,6,6,'Smoking and Alcohol Use'
39,4,28,'Overall Health'
9,6,5,'Nutrition/Physical Activity/Obesity'
16,7,32,'Mental Health'
20,2,42,'Overall Health'
10,3,15,'Screenings and Vaccines'
20,5,52,'Overall Health'
15,1,14,'Smoking and Alcohol Use'
21,5,12,'Overall Health'
27,6,3,Caregiving
1,7,53,'Mental Health'
36,5,21,'Screenings and Vaccines'
31,1,39,'Cognitive Decline'
29,7,35,'Overall Health'
30,6,6,'Cognitive Decline'
11,6,33,'Nutrition/Physical Activity/Obesity'
13,2,54,'Screenings and Vaccines'
15,6,32,'Smoking and Alcohol Use'
15,3,38,'Smoking and Alcohol Use'
27,6,24,Caregiving
35,3,40,'Overall Health'
38,3,12,'Overall Health'
7,7,53,'Screenings and Vaccines'
1,2,16,'Mental Health'
1,4,29,'Mental Health'
1,7,11,'Mental Health'
35,2,43,'Overall Health'
35,6,38,'Overall Health'
16,3,11,'Mental Health'
9,1,23,'Nutrition/Physical Activity/Obesity'
7,3,34,'Screenings and Vaccines'
16,3,30,'Mental Health'
5,5,50,'Screenings and Vaccines'
27,7,36,Caregiving
11,4,18,'Nutrition/Physical Activity/Obesity'
12,6,53,'Smoking and Alcohol Use'
16,3,29,'Mental Health'
29,1,33,'Overall Health'
4,1,52,'Screenings and Vaccines'
16,2,45,'Mental Health'
28,2,12,'Overall Health'
37,6,30,'Screenings and Vaccines'
20,4,45,'Overall Health'
21,3,37,'Overall Health'
35,2,34,'Overall Health'
13,6,9,'Screenings and Vaccines'
13,5,5,'Screenings and Vaccines'
4,5,22,'Screenings and Vaccines'
30,2,51,'Cognitive Decline'
29,1,39,'Overall Health'
39,7,48,'Overall Health'
24,2,9,Caregiving
30,1,40,'Cognitive Decline'
25,4,25,Caregiving
16,7,33,'Mental Health'
23,7,23,Caregiving
35,7,34,'Overall Health'
35,3,12,'Overall Health'
29,6,35,'Overall Health'
35,4,18,'Overall Health'
38,3,12,'Overall Health'
20,3,17,'Overall Health'
12,6,20,'Smoking and Alcohol Use'
22,3,34,'Overall Health'
23,3,32,Caregiving
17,7,11,'Cognitive Decline'
17,2,18,'Cognitive Decline'
14,6,10,'Screenings and Vaccines'
4,7,41,'Screenings and Vaccines'
1,1,23,'Mental Health'
9,3,54,'Nutrition/Physical Activity/Obesity'
35,6,38,'Overall Health'
19,4,17,'Overall Health'
29,7,32,'Overall Health'
4,1,5,'Screenings and Vaccines'
20,5,9,'Overall Health'
19,6,52,'Overall Health'
1,4,5,'Mental Health'
3,5,39,'Overall Health'
24,6,39,Caregiving
29,2,17,'Overall Health'
12,5,41,'Smoking and Alcohol Use'
1,2,11,'Mental Health'
4,5,29,'Screenings and Vaccines'
15,6,27,'Smoking and Alcohol Use'
15,6,32,'Smoking and Alcohol Use'
16,1,19,'Mental Health'
13,5,44,'Screenings and Vaccines'
39,2,18,'Overall Health'
21,5,28,'Overall Health'
30,6,39,'Cognitive Decline'
20,7,12,'Overall Health'
21,3,2,'Overall Health'
32,6,29,'Nutrition/Physical Activity/Obesity'
34,3,1,'Overall Health'
28,4,3,'Overall Health'
19,3,12,'Overall Health'
16,7,8,'Mental Health'
32,5,33,'Nutrition/Physical Activity/Obesity'
29,6,15,'Overall Health'
12,2,53,'Smoking and Alcohol Use'
14,2,41,'Screenings and Vaccines'
29,6,16,'Overall Health'
22,5,54,'Overall Health'
13,1,6,'Screenings and Vaccines'
23,1,53,Caregiving
22,6,12,'Overall Health'
31,4,16,'Cognitive Decline'
6,3,46,'Screenings and Vaccines'
23,4,35,Caregiving
2,5,8,'Overall Health'
38,5,28,'Overall Health'
12,6,9,'Smoking and Alcohol Use'
30,6,39,'Cognitive Decline'
9,6,10,'Nutrition/Physical Activity/Obesity'
18,3,39,'Cognitive Decline'
19,4,3,'Overall Health'
12,6,45,'Smoking and Alcohol Use'
19,4,14,'Overall Health'
11,6,52,'Nutrition/Physical Activity/Obesity'
22,5,25,'Overall Health'
22,5,46,'Overall Health'
23,6,29,Caregiving
1,1,12,'Mental Health'
19,1,30,'Overall Health'
15,6,29,'Smoking and Alcohol Use'
7,7,50,'Screenings and Vaccines'
19,3,1,'Overall Health'
8,3,36,'Screenings and Vaccines'
13,6,46,'Screenings and Vaccines'
32,6,32,'Nutrition/Physical Activity/Obesity'
10,3,34,'Screenings and Vaccines'
38,1,12,'Overall Health'
14,6,15,'Screenings and Vaccines'
27,6,39,Caregiving
30,5,39,'Cognitive Decline'
22,4,6,'Overall Health'
15,6,11,'Smoking and Alcohol Use'
9,1,12,'Nutrition/Physical Activity/Obesity'
31,5,15,'Cognitive Decline'
20,3,15,'Overall Health'
11,6,25,'Nutrition/Physical Activity/Obesity'
15,2,35,'Smoking and Alcohol Use'
3,7,23,'Overall Health'
8,5,54,'Screenings and Vaccines'
35,1,51,'Overall Health'
34,1,31,'Overall Health'
21,5,14,'Overall Health'
13,5,27,'Screenings and Vaccines'
28,6,6,'Overall Health'
2,6,50,'Overall Health'
28,3,25,'Overall Health'
2,6,43,'Overall Health'
6,5,53,'Screenings and Vaccines'
24,4,53,Caregiving
8,2,23,'Screenings and Vaccines'
13,5,28,'Screenings and Vaccines'
1,5,11,'Mental Health'
29,7,5,'Overall Health'
34,4,10,'Overall Health'
3,1,23,'Overall Health'
22,4,5,'Overall Health'
18,6,9,'Cognitive Decline'
11,2,28,'Nutrition/Physical Activity/Obesity'
16,1,2,'Mental Health'
12,6,25,'Smoking and Alcohol Use'
12,7,11,'Smoking and Alcohol Use'
1,4,31,'Mental Health'
35,4,6,'Overall Health'
15,5,29,'Smoking and Alcohol Use'
24,7,29,Caregiving
20,2,17,'Overall Health'
1,4,14,'Mental Health'
3,3,2,'Overall Health'
11,1,14,'Nutrition/Physical Activity/Obesity'
25,6,31,Caregiving
24,5,52,Caregiving
30,1,4,'Cognitive Decline'
8,2,18,'Screenings and Vaccines'
13,5,47,'Screenings and Vaccines'
5,1,15,'Screenings and Vaccines'
33,3,1,'Nutrition/Physical Activity/Obesity'
9,2,26,'Nutrition/Physical Activity/Obesity'
18,6,35,'Cognitive Decline'
13,4,19,'Screenings and Vaccines'
26,7,38,Caregiving
22,1,53,'Overall Health'
21,1,31,'Overall Health'
27,4,25,Caregiving
35,6,52,'Overall Health'
6,5,21,'Screenings and Vaccines'
14,3,54,'Screenings and Vaccines'
2,6,49,'Overall Health'
30,1,32,'Cognitive Decline'
9,2,4,'Nutrition/Physical Activity/Obesity'
35,4,12,'Overall Health'
22,2,2,'Overall Health'
10,7,22,'Screenings and Vaccines'
8,5,21,'Screenings and Vaccines'
30,6,34,'Cognitive Decline'
12,6,47,'Smoking and Alcohol Use'
5,5,39,'Screenings and Vaccines'
36,3,37,'Screenings and Vaccines'
25,7,16,Caregiving
7,7,19,'Screenings and Vaccines'
1,2,13,'Mental Health'
38,6,43,'Overall Health'
34,6,6,'Overall Health'
35,3,51,'Overall Health'
5,7,21,'Screenings and Vaccines'
30,6,42,'Cognitive Decline'
11,6,31,'Nutrition/Physical Activity/Obesity'
35,3,5,'Overall Health'
9,7,18,'Nutrition/Physical Activity/Obesity'
25,6,37,Caregiving
16,3,49,'Mental Health'
31,4,26,'Cognitive Decline'
30,4,50,'Cognitive Decline'
29,1,37,'Overall Health'
33,6,7,'Nutrition/Physical Activity/Obesity'
7,2,30,'Screenings and Vaccines'
10,1,21,'Screenings and Vaccines'
39,3,54,'Overall Health'
20,7,30,'Overall Health'
12,5,7,'Smoking and Alcohol Use'
14,1,30,'Screenings and Vaccines'
39,6,41,'Overall Health'
4,5,3,'Screenings and Vaccines'
20,4,32,'Overall Health'
34,4,38,'Overall Health'
23,2,30,Caregiving
2,5,32,'Overall Health'
15,5,42,'Smoking and Alcohol Use'
26,2,8,Caregiving
19,6,13,'Overall Health'
30,3,12,'Cognitive Decline'
35,2,14,'Overall Health'
12,7,5,'Smoking and Alcohol Use'
35,2,11,'Overall Health'
35,3,22,'Overall Health'
11,1,9,'Nutrition/Physical Activity/Obesity'
32,2,30,'Nutrition/Physical Activity/Obesity'
39,1,13,'Overall Health'
12,6,51,'Smoking and Alcohol Use'
15,7,46,'Smoking and Alcohol Use'
22,2,44,'Overall Health'
10,4,21,'Screenings and Vaccines'
28,2,23,'Overall Health'
2,2,49,'Overall Health'
11,6,12,'Nutrition/Physical Activity/Obesity'
12,7,21,'Smoking and Alcohol Use'
6,3,21,'Screenings and Vaccines'
16,3,8,'Mental Health'
15,6,38,'Smoking and Alcohol Use'
31,7,41,'Cognitive Decline'
38,5,29,'Overall Health'
28,1,25,'Overall Health'
35,4,46,'Overall Health'
35,5,34,'Overall Health'
20,6,2,'Overall Health'
32,3,23,'Nutrition/Physical Activity/Obesity'
4,2,36,'Screenings and Vaccines'
18,4,38,'Cognitive Decline'
32,1,42,'Nutrition/Physical Activity/Obesity'
1,3,45,'Mental Health'
20,4,9,'Overall Health'
25,5,30,Caregiving
4,3,54,'Screenings and Vaccines'
22,3,28,'Overall Health'
19,7,12,'Overall Health'
11,4,51,'Nutrition/Physical Activity/Obesity'
7,5,43,'Screenings and Vaccines'
37,4,10,'Screenings and Vaccines'
12,4,43,'Smoking and Alcohol Use'
18,6,35,'Cognitive Decline'
8,1,18,'Screenings and Vaccines'
15,6,4,'Smoking and Alcohol Use'
10,3,38,'Screenings and Vaccines'
33,5,4,'Nutrition/Physical Activity/Obesity'
35,6,39,'Overall Health'
16,6,36,'Mental Health'
17,4,39,'Cognitive Decline'
22,1,46,'Overall Health'
39,5,43,'Overall Health'
12,6,23,'Smoking and Alcohol Use'
16,6,27,'Mental Health'
19,7,25,'Overall Health'
35,4,31,'Overall Health'
1,5,34,'Mental Health'
15,5,39,'Smoking and Alcohol Use'
11,7,11,'Nutrition/Physical Activity/Obesity'
25,6,39,Caregiving
2,2,29,'Overall Health'
1,1,11,'Mental Health'
20,6,1,'Overall Health'
36,5,39,'Screenings and Vaccines'
16,2,27,'Mental Health'
9,5,1,'Nutrition/Physical Activity/Obesity'
15,1,39,'Smoking and Alcohol Use'
22,5,37,'Overall Health'
35,5,52,'Overall Health'
29,6,12,'Overall Health'
35,5,42,'Overall Health'
12,3,9,'Smoking and Alcohol Use'
28,6,5,'Overall Health'
4,5,32,'Screenings and Vaccines'
11,6,37,'Nutrition/Physical Activity/Obesity'
1,5,32,'Mental Health'
3,1,12,'Overall Health'
9,4,21,'Nutrition/Physical Activity/Obesity'
24,5,30,Caregiving
12,5,29,'Smoking and Alcohol Use'
26,4,2,Caregiving
18,2,2,'Cognitive Decline'
18,4,34,'Cognitive Decline'
4,4,12,'Screenings and Vaccines'
27,4,39,Caregiving
9,6,12,'Nutrition/Physical Activity/Obesity'
30,6,17,'Cognitive Decline'
38,7,27,'Overall Health'
33,5,45,'Nutrition/Physical Activity/Obesity'
16,1,16,'Mental Health'
9,7,12,'Nutrition/Physical Activity/Obesity'
25,5,39,Caregiving
21,6,5,'Overall Health'
4,7,54,'Screenings and Vaccines'
4,1,47,'Screenings and Vaccines'
24,6,22,Caregiving
9,6,45,'Nutrition/Physical Activity/Obesity'
9,6,8,'Nutrition/Physical Activity/Obesity'
28,6,47,'Overall Health'
28,7,27,'Overall Health'
19,1,47,'Overall Health'
14,5,21,'Screenings and Vaccines'
32,6,46,'Nutrition/Physical Activity/Obesity'
19,3,12,'Overall Health'
11,7,43,'Nutrition/Physical Activity/Obesity'
10,1,50,'Screenings and Vaccines'
34,4,21,'Overall Health'
27,2,39,Caregiving
17,5,39,'Cognitive Decline'
16,4,11,'Mental Health'
1,5,17,'Mental Health'
19,6,12,'Overall Health'
35,2,36,'Overall Health'
16,1,11,'Mental Health'
13,5,23,'Screenings and Vaccines'
34,3,47,'Overall Health'
24,7,39,Caregiving
3,6,31,'Overall Health'
34,6,48,'Overall Health'
16,6,31,'Mental Health'
11,7,8,'Nutrition/Physical Activity/Obesity'
15,1,23,'Smoking and Alcohol Use'
7,5,1,'Screenings and Vaccines'
34,7,15,'Overall Health'
23,3,35,Caregiving
21,1,23,'Overall Health'
15,6,33,'Smoking and Alcohol Use'
34,7,4,'Overall Health'
15,2,34,'Smoking and Alcohol Use'
10,1,9,'Screenings and Vaccines'
26,7,39,Caregiving
27,7,28,Caregiving
19,6,6,'Overall Health'
12,3,32,'Smoking and Alcohol Use'
11,6,29,'Nutrition/Physical Activity/Obesity'
39,6,31,'Overall Health'
20,6,28,'Overall Health'
36,2,1,'Screenings and Vaccines'
9,6,5,'Nutrition/Physical Activity/Obesity'
25,6,6,Caregiving
38,2,34,'Overall Health'
13,3,29,'Screenings and Vaccines'
16,2,4,'Mental Health'
14,7,31,'Screenings and Vaccines'
22,3,30,'Overall Health'
33,5,16,'Nutrition/Physical Activity/Obesity'
18,2,9,'Cognitive Decline'
9,2,49,'Nutrition/Physical Activity/Obesity'
14,2,44,'Screenings and Vaccines'
23,3,25,Caregiving
16,6,15,'Mental Health'
1,6,37,'Mental Health'
30,4,30,'Cognitive Decline'
39,1,2,'Overall Health'
31,4,2,'Cognitive Decline'
11,2,37,'Nutrition/Physical Activity/Obesity'
12,5,33,'Smoking and Alcohol Use'
25,2,27,Caregiving
22,5,37,'Overall Health'
37,5,40,'Screenings and Vaccines'
2,5,51,'Overall Health'
35,1,3,'Overall Health'
32,3,53,'Nutrition/Physical Activity/Obesity'
15,2,14,'Smoking and Alcohol Use'
30,6,12,'Cognitive Decline'
30,1,50,'Cognitive Decline'
31,6,31,'Cognitive Decline'
20,6,13,'Overall Health'
33,1,28,'Nutrition/Physical Activity/Obesity'
35,3,9,'Overall Health'
19,3,45,'Overall Health'
15,4,32,'Smoking and Alcohol Use'
4,5,31,'Screenings and Vaccines'
9,6,1,'Nutrition/Physical Activity/Obesity'
21,2,51,'Overall Health'
4,3,30,'Screenings and Vaccines'
28,7,4,'Overall Health'
9,5,34,'Nutrition/Physical Activity/Obesity'
13,5,16,'Screenings and Vaccines'
20,3,12,'Overall Health'
5,1,21,'Screenings and Vaccines'
20,3,15,'Overall Health'
28,4,41,'Overall Health'
15,2,2,'Smoking and Alcohol Use'
4,1,29,'Screenings and Vaccines'
18,6,39,'Cognitive Decline'
19,3,54,'Overall Health'
16,1,20,'Mental Health'
16,6,4,'Mental Health'
29,2,9,'Overall Health'
15,6,19,'Smoking and Alcohol Use'
18,1,35,'Cognitive Decline'
19,5,40,'Overall Health'
11,2,32,'Nutrition/Physical Activity/Obesity'
9,7,36,'Nutrition/Physical Activity/Obesity'
6,2,22,'Screenings and Vaccines'
12,1,11,'Smoking and Alcohol Use'
12,4,11,'Smoking and Alcohol Use'
22,3,27,'Overall Health'
1,7,8,'Mental Health'
38,1,16,'Overall Health'
33,4,12,'Nutrition/Physical Activity/Obesity'
6,5,18,'Screenings and Vaccines'
30,6,50,'Cognitive Decline'
16,7,15,'Mental Health'
13,2,52,'Screenings and Vaccines'
4,5,33,'Screenings and Vaccines'
31,2,39,'Cognitive Decline'
15,5,19,'Smoking and Alcohol Use'
22,6,53,'Overall Health'
13,7,9,'Screenings and Vaccines'
28,2,18,'Overall Health'
28,6,48,'Overall Health'
38,2,15,'Overall Health'
4,3,47,'Screenings and Vaccines'
35,5,4,'Overall Health'
27,1,39,Caregiving
14,3,18,'Screenings and Vaccines'
1,1,35,'Mental Health'
17,5,39,'Cognitive Decline'
29,5,12,'Overall Health'
32,4,25,'Nutrition/Physical Activity/Obesity'
4,4,33,'Screenings and Vaccines'
22,7,52,'Overall Health'
35,7,25,'Overall Health'
19,7,12,'Overall Health'
19,1,13,'Overall Health'
13,5,11,'Screenings and Vaccines'
13,4,10,'Screenings and Vaccines'
7,2,44,'Screenings and Vaccines'
9,6,12,'Nutrition/Physical Activity/Obesity'
22,6,12,'Overall Health'
38,2,12,'Overall Health'
7,2,32,'Screenings and Vaccines'
38,7,53,'Overall Health'
15,3,1,'Smoking and Alcohol Use'
24,5,26,Caregiving
22,6,15,'Overall Health'
15,6,11,'Smoking and Alcohol Use'
21,6,28,'Overall Health'
16,1,51,'Mental Health'
18,2,39,'Cognitive Decline'
11,7,26,'Nutrition/Physical Activity/Obesity'
31,3,29,'Cognitive Decline'
19,1,18,'Overall Health'
15,1,40,'Smoking and Alcohol Use'
3,6,30,'Overall Health'
13,5,49,'Screenings and Vaccines'
37,1,21,'Screenings and Vaccines'
16,3,4,'Mental Health'
12,4,49,'Smoking and Alcohol Use'
33,6,9,'Nutrition/Physical Activity/Obesity'
11,7,10,'Nutrition/Physical Activity/Obesity'
11,2,44,'Nutrition/Physical Activity/Obesity'
33,4,9,'Nutrition/Physical Activity/Obesity'
19,6,39,'Overall Health'
22,7,6,'Overall Health'
38,4,7,'Overall Health'
8,5,27,'Screenings and Vaccines'
32,3,41,'Nutrition/Physical Activity/Obesity'
11,6,33,'Nutrition/Physical Activity/Obesity'
21,3,41,'Overall Health'
26,5,39,Caregiving
6,1,1,'Screenings and Vaccines'
22,5,49,'Overall Health'
1,3,40,'Mental Health'
17,4,35,'Cognitive Decline'
19,7,8,'Overall Health'
39,1,53,'Overall Health'
7,5,8,'Screenings and Vaccines'
4,2,9,'Screenings and Vaccines'
9,5,6,'Nutrition/Physical Activity/Obesity'
1,4,47,'Mental Health'
19,5,26,'Overall Health'
16,6,35,'Mental Health'
20,3,39,'Overall Health'
11,3,9,'Nutrition/Physical Activity/Obesity'
16,5,30,'Mental Health'
31,6,15,'Cognitive Decline'
13,1,27,'Screenings and Vaccines'
28,2,14,'Overall Health'
19,7,32,'Overall Health'
30,5,28,'Cognitive Decline'
13,3,39,'Screenings and Vaccines'
22,4,45,'Overall Health'
30,3,28,'Cognitive Decline'
17,1,51,'Cognitive Decline'
13,2,29,'Screenings and Vaccines'
3,3,12,'Overall Health'
30,5,50,'Cognitive Decline'
12,6,18,'Smoking and Alcohol Use'
31,6,39,'Cognitive Decline'
36,4,3,'Screenings and Vaccines'
5,3,26,'Screenings and Vaccines'
24,4,50,Caregiving
34,7,2,'Overall Health'
9,6,3,'Nutrition/Physical Activity/Obesity'
24,1,37,Caregiving
23,2,39,Caregiving
12,2,4,'Smoking and Alcohol Use'
7,3,20,'Screenings and Vaccines'
25,6,3,Caregiving
5,5,41,'Screenings and Vaccines'
36,1,11,'Screenings and Vaccines'
12,6,6,'Smoking and Alcohol Use'
2,6,45,'Overall Health'
25,7,9,Caregiving
9,4,6,'Nutrition/Physical Activity/Obesity'
30,5,26,'Cognitive Decline'
19,2,53,'Overall Health'
14,5,11,'Screenings and Vaccines'
11,2,6,'Nutrition/Physical Activity/Obesity'
33,6,42,'Nutrition/Physical Activity/Obesity'
24,6,39,Caregiving
16,7,5,'Mental Health'
11,1,37,'Nutrition/Physical Activity/Obesity'
18,2,1,'Cognitive Decline'
32,4,2,'Nutrition/Physical Activity/Obesity'
17,2,29,'Cognitive Decline'
35,1,12,'Overall Health'
13,5,37,'Screenings and Vaccines'
8,3,51,'Screenings and Vaccines'
28,7,8,'Overall Health'
26,3,10,Caregiving
36,4,5,'Screenings and Vaccines'
20,4,42,'Overall Health'
14,1,53,'Screenings and Vaccines'
15,1,39,'Smoking and Alcohol Use'
12,3,50,'Smoking and Alcohol Use'
22,1,54,'Overall Health'
20,3,53,'Overall Health'
2,6,49,'Overall Health'
25,1,15,Caregiving
2,5,6,'Overall Health'
9,5,22,'Nutrition/Physical Activity/Obesity'
29,1,7,'Overall Health'
9,2,2,'Nutrition/Physical Activity/Obesity'
7,7,49,'Screenings and Vaccines'
1,4,39,'Mental Health'
12,6,3,'Smoking and Alcohol Use'
28,6,37,'Overall Health'
30,7,39,'Cognitive Decline'
35,6,7,'Overall Health'
13,7,4,'Screenings and Vaccines'
7,6,9,'Screenings and Vaccines'
11,1,36,'Nutrition/Physical Activity/Obesity'
37,7,30,'Screenings and Vaccines'
11,5,3,'Nutrition/Physical Activity/Obesity'
28,7,30,'Overall Health'
23,3,45,Caregiving
18,5,40,'Cognitive Decline'
12,7,22,'Smoking and Alcohol Use'
37,3,13,'Screenings and Vaccines'
16,2,9,'Mental Health'
38,6,1,'Overall Health'
15,7,11,'Smoking and Alcohol Use'
21,4,41,'Overall Health'
3,1,23,'Overall Health'
24,5,54,Caregiving
17,5,28,'Cognitive Decline'
35,6,12,'Overall Health'
3,4,36,'Overall Health'
4,2,32,'Screenings and Vaccines'
10,5,34,'Screenings and Vaccines'
38,7,37,'Overall Health'
9,2,12,'Nutrition/Physical Activity/Obesity'
11,3,8,'Nutrition/Physical Activity/Obesity'
17,1,21,'Cognitive Decline'
32,2,28,'Nutrition/Physical Activity/Obesity'
39,6,38,'Overall Health'
22,1,27,'Overall Health'
14,3,21,'Screenings and Vaccines'
12,6,17,'Smoking and Alcohol Use'
7,6,54,'Screenings and Vaccines'
38,7,14,'Overall Health'
16,6,17,'Mental Health'
18,2,39,'Cognitive Decline'
13,2,25,'Screenings and Vaccines'
33,6,22,'Nutrition/Physical Activity/Obesity'
11,2,49,'Nutrition/Physical Activity/Obesity'
4,2,20,'Screenings and Vaccines'
37,5,38,'Screenings and Vaccines'
28,2,35,'Overall Health'
4,6,46,'Screenings and Vaccines'
37,5,50,'Screenings and Vaccines'
4,4,6,'Screenings and Vaccines'
33,1,38,'Nutrition/Physical Activity/Obesity'
12,2,25,'Smoking and Alcohol Use'
30,6,22,'Cognitive Decline'
29,2,51,'Overall Health'
12,6,33,'Smoking and Alcohol Use'
38,6,53,'Overall Health'
1,7,6,'Mental Health'
9,6,12,'Nutrition/Physical Activity/Obesity'
21,1,2,'Overall Health'
3,6,30,'Overall Health'
1,2,28,'Mental Health'
33,2,15,'Nutrition/Physical Activity/Obesity'
24,7,51,Caregiving
22,3,7,'Overall Health'
9,1,12,'Nutrition/Physical Activity/Obesity'
17,7,37,'Cognitive Decline'
13,4,22,'Screenings and Vaccines'
2,4,6,'Overall Health'
9,1,49,'Nutrition/Physical Activity/Obesity'
11,6,20,'Nutrition/Physical Activity/Obesity'
29,4,39,'Overall Health'
3,3,16,'Overall Health'
35,1,38,'Overall Health'
11,3,28,'Nutrition/Physical Activity/Obesity'
15,6,10,'Smoking and Alcohol Use'
26,1,5,Caregiving
20,6,32,'Overall Health'
29,5,50,'Overall Health'
13,2,21,'Screenings and Vaccines'
21,1,28,'Overall Health'
16,5,49,'Mental Health'
4,5,15,'Screenings and Vaccines'
28,2,15,'Overall Health'
38,5,36,'Overall Health'
26,4,24,Caregiving
28,3,39,'Overall Health'
20,2,4,'Overall Health'
37,7,7,'Screenings and Vaccines'
25,3,39,Caregiving
27,7,31,Caregiving
23,5,50,Caregiving
22,5,25,'Overall Health'
