@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,8-10,14-17-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute Data_Value numeric
@attribute Low_Confidence_Limit numeric
@attribute High_Confidence_Limit numeric
@attribute Geolocation numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
2.010393,2.151559,1.854607,21,'Overall Health'
-1.398562,-1.273795,-1.533475,29,'Overall Health'
1.252847,0.7305,1.591998,14,'Screenings and Vaccines'
-0.231051,-0.232302,-0.229042,49,'Nutrition/Physical Activity/Obesity'
-1.322808,-1.227506,-1.412934,19,'Mental Health'
0.93646,-0.52392,1.957928,39,Caregiving
-0.436034,-0.625755,-0.190297,19,'Cognitive Decline'
0.997942,1.004426,0.96825,22,'Screenings and Vaccines'
-0.351367,-0.250817,-0.452905,39,'Screenings and Vaccines'
-0.097366,0.008398,-0.198907,32,'Overall Health'
-0.324246,-0.3228,-0.315909,48,'Nutrition/Physical Activity/Obesity'
-1.420843,-1.287681,-1.555001,14,'Overall Health'
0.02295,-0.32025,0.403802,28,'Overall Health'
1.217198,1.318365,1.105526,42,'Screenings and Vaccines'
0.343792,0.420367,0.26604,17,'Screenings and Vaccines'
0.838425,1.003603,0.679325,13,'Screenings and Vaccines'
-1.44758,-1.343227,-1.559306,36,'Overall Health'
2.660991,2.938464,2.384129,9,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,8,'Mental Health'
-0.90393,-0.834053,-0.969513,38,'Overall Health'
0.997942,1.004426,0.96825,21,'Screenings and Vaccines'
1.243935,1.360024,1.122747,39,'Screenings and Vaccines'
-0.67221,-0.630384,-0.706904,52,'Cognitive Decline'
1.618251,1.716446,1.505897,12,'Screenings and Vaccines'
0.075433,0.107494,0.032443,18,'Overall Health'
-0.886105,-0.815538,-0.947987,34,'Nutrition/Physical Activity/Obesity'
1.016671,1.248932,0.791257,21,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,24,'Mental Health'
0.075433,0.107494,0.032443,43,'Overall Health'
-0.257788,-0.24156,-0.267788,53,'Overall Health'
1.45783,1.697931,1.230373,21,'Screenings and Vaccines'
-0.15084,-0.065663,-0.233347,35,'Overall Health'
-0.324246,-0.3228,-0.315909,3,'Nutrition/Physical Activity/Obesity'
1.252847,1.008231,1.411186,48,'Overall Health'
0.075433,0.107494,0.032443,21,'Overall Health'
2.616429,2.42929,2.440095,54,'Screenings and Vaccines'
1.324145,1.059149,1.484372,27,'Overall Health'
0.997942,1.004426,0.96825,35,'Screenings and Vaccines'
-0.511788,-0.611868,-0.384024,14,'Cognitive Decline'
0.075433,0.107494,0.032443,52,'Overall Health'
-0.264658,-0.447356,-0.051172,39,'Cognitive Decline'
-0.2044,-0.28392,-0.097691,16,Caregiving
0.075433,0.107494,0.032443,46,'Overall Health'
0.058599,-0.148983,0.278955,43,'Nutrition/Physical Activity/Obesity'
0.348249,0.230584,0.455462,38,'Screenings and Vaccines'
-0.271156,-0.746105,0.369361,12,'Overall Health'
-0.734596,-0.940517,-0.39694,29,'Cognitive Decline'
-1.309439,-1.208991,-1.417239,17,'Overall Health'
-0.235507,-0.292477,-0.173076,23,Caregiving
-0.846,-0.778507,-0.909242,5,'Smoking and Alcohol Use'
-1.033158,-0.977548,-1.077139,31,'Cognitive Decline'
-0.837087,-0.741476,-0.930767,25,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,46,'Screenings and Vaccines'
0.075433,0.107494,0.032443,50,'Overall Health'
2.420358,2.54964,2.242062,41,'Screenings and Vaccines'
-0.244419,-0.209158,-0.285008,36,'Overall Health'
-0.324246,-0.3228,-0.315909,28,'Nutrition/Physical Activity/Obesity'
-0.378104,-0.352652,-0.40555,21,'Mental Health'
2.246569,2.355228,2.09569,17,'Overall Health'
1.043408,1.235045,0.851528,13,'Screenings and Vaccines'
0.997942,1.004426,0.96825,17,'Screenings and Vaccines'
0.094248,-0.246189,0.455462,13,'Smoking and Alcohol Use'
-0.98414,-0.903486,-1.064224,53,'Smoking and Alcohol Use'
-1.117744,-1.0579,-1.160363,40,'Smoking and Alcohol Use'
0.02295,0.161151,-0.121416,12,'Nutrition/Physical Activity/Obesity'
0.116529,-0.051777,0.28326,31,Caregiving
0.997942,1.004426,0.96825,50,'Screenings and Vaccines'
0.526495,0.276872,0.752512,16,'Cognitive Decline'
-1.407475,-1.264537,-1.550696,12,'Overall Health'
0.829513,0.924912,0.730986,6,'Screenings and Vaccines'
-0.360279,-0.292477,-0.42277,23,'Overall Health'
1.292952,1.346138,1.221763,21,'Screenings and Vaccines'
0.997942,1.004426,0.96825,10,'Screenings and Vaccines'
-1.104456,-1.116414,-1.051309,31,Caregiving
-0.311262,-0.324879,-0.293618,21,'Overall Health'
0.075433,0.107494,0.032443,17,'Overall Health'
0.997942,1.004426,0.96825,15,'Screenings and Vaccines'
-1.354001,-1.236764,-1.47751,37,'Overall Health'
-1.077719,-1.019208,-1.1288,21,'Mental Health'
-1.022543,-0.968484,-1.057809,32,'Mental Health'
2.103972,2.244136,1.940708,49,'Overall Health'
-0.725684,-0.648899,-0.801615,54,'Smoking and Alcohol Use'
0.997942,1.004426,0.96825,18,'Screenings and Vaccines'
-1.416387,-1.296939,-1.533475,11,'Mental Health'
1.524672,1.434086,1.553253,38,'Overall Health'
1.038952,0.517573,1.415491,5,'Overall Health'
-0.324246,-0.3228,-0.315909,19,'Nutrition/Physical Activity/Obesity'
-1.162386,-1.199733,-1.042699,51,'Cognitive Decline'
-0.770245,-0.755363,-0.775785,21,'Mental Health'
-0.199858,-0.195271,-0.203212,12,'Nutrition/Physical Activity/Obesity'
-1.287159,-1.246021,-1.288087,17,'Mental Health'
-0.324246,-0.3228,-0.315909,50,'Nutrition/Physical Activity/Obesity'
0.143266,0.225955,0.063702,48,'Nutrition/Physical Activity/Obesity'
2.331235,2.304311,2.229147,51,'Screenings and Vaccines'
-0.239963,-0.445229,0.012041,17,'Cognitive Decline'
0.075433,0.107494,0.032443,31,'Overall Health'
1.350882,1.443344,1.243288,29,'Screenings and Vaccines'
0.075433,0.107494,0.032443,1,'Overall Health'
-0.583087,-0.505405,-0.655243,41,'Overall Health'
0.997942,1.004426,0.96825,3,'Screenings and Vaccines'
-1.420843,-1.287681,-1.559306,26,'Overall Health'
0.075433,0.107494,0.032443,15,'Overall Health'
0.075433,0.107494,0.032443,14,'Overall Health'
-1.429755,-1.296939,-1.563611,20,'Overall Health'
0.997942,1.004426,0.96825,47,'Screenings and Vaccines'
0.379442,-0.125838,0.868748,29,'Overall Health'
1.716287,1.873827,1.548948,17,'Overall Health'
0.009581,0.073202,-0.05684,21,'Overall Health'
1.582602,1.614611,1.523117,34,'Overall Health'
0.075433,0.107494,0.032443,46,'Overall Health'
0.401722,0.591634,0.218684,21,'Screenings and Vaccines'
1.800954,1.771993,1.764201,19,'Overall Health'
0.793864,0.938799,0.64919,38,'Screenings and Vaccines'
-0.73014,-0.759992,-0.672463,12,'Nutrition/Physical Activity/Obesity'
1.511304,1.679415,1.342305,11,'Screenings and Vaccines'
0.089792,-1.05161,1.579083,39,Caregiving
-0.311262,-0.366539,-0.237652,16,'Cognitive Decline'
-0.2044,-0.28392,-0.097691,50,Caregiving
0.997942,1.004426,0.96825,18,'Screenings and Vaccines'
1.569234,1.572952,1.527422,47,Caregiving
-0.146384,-0.121209,-0.173076,49,'Overall Health'
0.700284,0.758273,0.63197,21,'Screenings and Vaccines'
0.997942,1.004426,0.96825,32,'Screenings and Vaccines'
0.851794,0.985087,0.718071,50,'Screenings and Vaccines'
-0.636561,-1.056238,0.115363,39,Caregiving
0.075433,0.107494,0.032443,3,'Overall Health'
0.829513,0.147264,1.376745,29,'Cognitive Decline'
1.480111,1.503519,1.424101,31,'Screenings and Vaccines'
0.075433,0.107494,0.032443,3,'Overall Health'
0.963197,1.105437,0.821392,37,'Screenings and Vaccines'
1.395444,1.198014,1.505897,29,'Overall Health'
-1.022543,-0.968484,-1.057809,48,'Mental Health'
0.125441,0.161151,0.089532,8,'Overall Health'
2.500569,2.716279,2.272198,39,'Screenings and Vaccines'
0.205652,0.230584,0.175633,4,'Screenings and Vaccines'
-0.502876,-0.435972,-0.569142,39,Caregiving
-1.224772,-1.08864,-1.365578,14,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,27,'Overall Health'
1.448918,0.93417,1.742675,10,'Screenings and Vaccines'
2.558499,2.808856,2.306638,34,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,10,'Smoking and Alcohol Use'
-0.792526,-0.732218,-0.853276,36,'Overall Health'
-0.765789,-0.778507,-0.732734,12,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,50,'Screenings and Vaccines'
-1.149018,-1.056238,-1.245036,32,'Mental Health'
-1.340632,-1.213619,-1.4689,31,'Overall Health'
-0.2044,-0.28392,-0.097691,29,Caregiving
-0.49842,-0.579466,-0.388329,40,'Overall Health'
1.667269,1.809023,1.514507,12,'Overall Health'
2.785763,-0.28392,-0.097691,39,Caregiving
0.075433,0.107494,0.032443,53,'Overall Health'
-1.420843,-1.320083,-1.533475,6,'Overall Health'
0.143266,0.290759,-0.000874,52,'Overall Health'
-0.003787,-0.477631,0.550174,39,'Cognitive Decline'
0.259126,-0.028632,0.545869,24,'Cognitive Decline'
-0.837087,-0.783136,-0.883411,16,'Nutrition/Physical Activity/Obesity'
-0.600911,-0.514662,-0.689684,21,'Nutrition/Physical Activity/Obesity'
-1.131193,-1.00995,-1.257952,6,'Smoking and Alcohol Use'
-0.828175,-0.736847,-0.922157,39,Caregiving
-0.351367,-0.269333,-0.435685,25,'Mental Health'
-0.141928,-0.36191,0.111058,10,'Nutrition/Physical Activity/Obesity'
1.390988,1.596096,1.187323,12,'Overall Health'
-0.0127,0.100976,-0.130026,35,'Overall Health'
2.513938,2.776454,2.259283,11,'Screenings and Vaccines'
-0.264658,-0.447356,-0.051172,19,'Cognitive Decline'
-0.264658,-0.447356,-0.051172,39,'Cognitive Decline'
0.075433,0.107494,0.032443,39,'Overall Health'
0.997942,1.004426,0.96825,36,'Screenings and Vaccines'
-0.264658,-0.447356,-0.051172,11,'Cognitive Decline'
1.466742,1.471117,1.428406,36,'Screenings and Vaccines'
-0.337999,-0.218415,-0.452905,14,'Nutrition/Physical Activity/Obesity'
-1.189123,-1.111785,-1.257952,8,'Mental Health'
-1.224772,-1.158073,-1.275172,47,'Smoking and Alcohol Use'
-1.006421,-1.102527,-0.80592,37,'Overall Health'
1.627164,1.707189,1.523117,39,Caregiving
-0.264658,-0.447356,-0.051172,27,'Cognitive Decline'
-0.694491,-0.579466,-0.80592,14,'Nutrition/Physical Activity/Obesity'
0.107616,0.133378,0.076617,5,'Nutrition/Physical Activity/Obesity'
-0.538525,-0.722961,-0.289313,42,Caregiving
-1.434212,-1.320083,-1.555001,20,'Overall Health'
0.816144,0.642552,0.950544,47,'Screenings and Vaccines'
-1.211404,-1.199733,-1.176155,41,'Smoking and Alcohol Use'
0.997942,1.004426,0.96825,25,'Screenings and Vaccines'
1.849971,2.035837,1.660879,26,'Overall Health'
-1.126737,-1.070125,-1.167545,20,'Mental Health'
0.075433,0.107494,0.032443,51,'Overall Health'
2.433727,2.572785,2.250672,8,'Overall Health'
0.174459,0.304645,0.042177,12,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,38,'Overall Health'
0.075433,0.107494,0.032443,26,'Overall Health'
2.326779,2.480208,2.147351,41,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,31,'Smoking and Alcohol Use'
-0.993053,-0.912744,-1.068529,19,'Smoking and Alcohol Use'
1.11025,1.147097,1.053866,49,'Screenings and Vaccines'
1.622708,1.758106,1.480067,39,'Overall Health'
-0.048349,0.031543,-0.134331,34,'Screenings and Vaccines'
-0.690034,-0.537807,-0.844666,12,'Nutrition/Physical Activity/Obesity'
-1.434212,-1.310825,-1.559306,3,'Overall Health'
1.57369,1.559065,1.540338,25,Caregiving
1.395444,1.549808,1.234678,13,'Screenings and Vaccines'
1.275128,1.401684,1.139967,24,'Overall Health'
0.014037,-0.36191,0.433937,7,'Screenings and Vaccines'
-0.641017,-0.792394,-0.418465,11,'Cognitive Decline'
-1.376282,-1.287681,-1.47751,53,'Overall Health'
-1.04207,-0.935888,-1.14602,8,'Mental Health'
0.299231,0.216697,0.377971,26,'Screenings and Vaccines'
-0.707859,-0.667414,-0.737039,46,'Overall Health'
0.075433,0.107494,0.032443,1,'Overall Health'
-0.355823,-0.40357,-0.289313,13,Caregiving
-1.296071,-1.301568,-1.206291,11,'Mental Health'
-1.411931,-1.278423,-1.550696,28,'Overall Health'
-0.264658,-0.447356,-0.051172,3,'Cognitive Decline'
0.997942,1.004426,0.96825,47,'Screenings and Vaccines'
1.243935,1.369282,1.109832,30,'Screenings and Vaccines'
-0.253332,-0.093436,-0.409855,12,'Nutrition/Physical Activity/Obesity'
-1.113369,-1.023836,-1.193376,41,'Smoking and Alcohol Use'
-0.177577,-0.010117,-0.349584,12,'Overall Health'
-1.452036,-1.320083,-1.589441,28,'Overall Health'
-1.117744,-1.0579,-1.160363,50,'Smoking and Alcohol Use'
2.629797,2.748681,2.414265,10,'Screenings and Vaccines'
0.838425,0.929541,0.739596,34,'Overall Health'
-0.743508,-0.959032,-0.39694,7,'Smoking and Alcohol Use'
0.201196,0.267614,0.132583,36,'Nutrition/Physical Activity/Obesity'
1.248391,1.285963,1.195933,12,'Overall Health'
0.954285,0.494428,1.307864,50,'Overall Health'
-0.204314,-0.227673,-0.177382,29,'Nutrition/Physical Activity/Obesity'
-1.117744,-1.0579,-1.160363,11,'Smoking and Alcohol Use'
-0.507332,-0.366539,-0.650938,12,'Nutrition/Physical Activity/Obesity'
-0.186489,-0.255446,-0.112806,51,Caregiving
1.132531,1.128582,1.114137,12,'Overall Health'
-0.2044,-0.28392,-0.097691,7,Caregiving
-1.443124,-1.33397,-1.563611,41,'Overall Health'
-0.890561,-0.773878,-1.008258,33,'Overall Health'
2.11734,2.258022,1.957928,33,'Overall Health'
-0.516245,-0.584095,-0.42277,34,Caregiving
-0.44049,-0.315621,-0.569142,52,'Nutrition/Physical Activity/Obesity'
-1.022543,-0.968484,-1.057809,27,'Mental Health'
-0.360279,-0.287848,-0.435685,24,'Overall Health'
-1.104456,-1.005321,-1.197681,35,'Nutrition/Physical Activity/Obesity'
-1.117744,-1.0579,-1.160363,47,'Smoking and Alcohol Use'
0.187827,-0.070292,0.451157,16,Caregiving
-1.300527,-1.190475,-1.412934,13,'Mental Health'
0.762671,0.961943,0.567394,21,'Screenings and Vaccines'
-1.01979,-0.945146,-1.090054,1,'Smoking and Alcohol Use'
-0.097366,-0.352652,0.197159,27,Caregiving
-1.117825,-1.162702,-0.999648,39,Caregiving
-0.275612,-0.144354,-0.41416,13,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,32,'Overall Health'
-1.260422,-1.190475,-1.318222,23,'Smoking and Alcohol Use'
-1.407475,-1.273795,-1.542086,48,'Overall Health'
-1.022543,-0.968484,-1.057809,23,'Mental Health'
-0.467227,-0.570209,-0.336669,7,Caregiving
-0.146384,-0.074921,-0.216127,4,'Overall Health'
-0.899473,-0.857198,-0.930767,47,'Mental Health'
-1.022543,-0.968484,-1.057809,36,'Mental Health'
0.997942,1.004426,0.96825,11,'Screenings and Vaccines'
0.923092,0.44814,1.286339,27,'Overall Health'
-0.324246,-0.3228,-0.315909,47,'Nutrition/Physical Activity/Obesity'
-1.443124,-1.371001,-1.52917,50,'Overall Health'
0.241301,0.239841,0.240209,2,'Nutrition/Physical Activity/Obesity'
0.553231,0.100976,0.967765,43,'Screenings and Vaccines'
-1.122281,-1.107156,-1.102969,21,'Smoking and Alcohol Use'
0.997942,1.004426,0.96825,33,'Screenings and Vaccines'
1.395444,1.253561,1.467152,34,Caregiving
0.464108,0.619407,0.313395,35,'Screenings and Vaccines'
0.997942,1.004426,0.96825,35,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,20,'Smoking and Alcohol Use'
0.997942,1.004426,0.96825,45,'Screenings and Vaccines'
0.997942,1.004426,0.96825,40,'Screenings and Vaccines'
0.165546,0.225955,0.098142,25,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,36,'Screenings and Vaccines'
1.636076,1.568323,1.639354,26,'Screenings and Vaccines'
2.429271,2.665362,2.190402,50,'Overall Health'
0.075433,0.107494,0.032443,23,'Overall Health'
-0.324246,-0.3228,-0.315909,5,'Nutrition/Physical Activity/Obesity'
1.484567,1.637756,1.32939,19,'Screenings and Vaccines'
0.900811,0.637923,1.105526,8,'Cognitive Decline'
-1.117744,-1.0579,-1.160363,11,'Smoking and Alcohol Use'
1.217198,0.758273,1.523117,50,'Nutrition/Physical Activity/Obesity'
-0.164209,-0.051777,-0.276398,35,'Nutrition/Physical Activity/Obesity'
1.680637,1.896972,1.467152,52,'Screenings and Vaccines'
-0.324246,-0.3228,-0.315909,2,'Nutrition/Physical Activity/Obesity'
0.259126,0.013027,0.502818,30,'Overall Health'
0.874074,0.961943,0.774037,45,'Overall Health'
0.664635,0.475913,0.821392,27,'Screenings and Vaccines'
0.075433,0.107494,0.032443,32,'Overall Health'
-0.264658,-0.447356,-0.051172,47,'Cognitive Decline'
0.997942,1.004426,0.96825,8,'Screenings and Vaccines'
-1.523335,-1.403403,-1.641102,8,'Smoking and Alcohol Use'
-0.280069,-0.255446,-0.302228,16,'Nutrition/Physical Activity/Obesity'
-0.850456,-0.834053,-0.853276,21,'Smoking and Alcohol Use'
-1.117744,-1.0579,-1.160363,25,'Smoking and Alcohol Use'
-1.33172,-1.241393,-1.412934,38,'Smoking and Alcohol Use'
-0.400385,-0.348023,-0.4486,25,'Screenings and Vaccines'
-0.743508,-0.963661,-0.388329,39,'Cognitive Decline'
-0.863824,-0.787765,-0.935072,20,'Smoking and Alcohol Use'
-0.137472,-0.051777,-0.220432,32,'Nutrition/Physical Activity/Obesity'
-0.264658,-0.447356,-0.051172,16,'Cognitive Decline'
0.997942,1.004426,0.96825,24,'Screenings and Vaccines'
1.618251,1.207272,1.820166,39,Caregiving
-0.605368,-0.533178,-0.676768,16,Caregiving
1.538041,1.633127,1.428406,12,'Overall Health'
0.352705,0.471284,0.235904,22,'Overall Health'
0.075433,0.107494,0.032443,48,'Overall Health'
1.622708,1.716446,1.514507,14,'Overall Health'
0.997942,1.004426,0.96825,13,'Screenings and Vaccines'
0.997942,1.004426,0.96825,10,'Screenings and Vaccines'
0.075433,0.107494,0.032443,22,'Overall Health'
-1.367369,-1.352485,-1.395714,18,'Overall Health'
-1.550071,-1.458949,-1.585136,11,'Smoking and Alcohol Use'
-0.49842,-0.398941,-0.603582,32,'Overall Health'
1.288496,1.410942,1.161492,36,'Screenings and Vaccines'
1.63162,0.378707,2.143046,39,Caregiving
0.075433,0.107494,0.032443,6,'Overall Health'
1.894533,2.096013,1.69532,13,'Overall Health'
-0.493964,-0.435972,-0.551922,11,'Mental Health'
-0.320174,-0.250817,-0.39694,45,'Screenings and Vaccines'
-0.324246,-0.3228,-0.315909,47,'Nutrition/Physical Activity/Obesity'
0.16109,-0.301735,0.6578,7,'Nutrition/Physical Activity/Obesity'
1.417725,1.609983,1.230373,28,'Screenings and Vaccines'
0.997942,1.004426,0.96825,1,'Screenings and Vaccines'
0.075433,0.107494,0.032443,29,'Overall Health'
2.603061,2.855145,2.345384,47,'Screenings and Vaccines'
-0.881649,-0.778507,-0.991038,12,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,43,'Overall Health'
-1.438668,-1.324712,-1.563611,6,'Overall Health'
-1.175755,-1.158073,-1.158935,22,Caregiving
-0.765789,-0.625755,-0.904937,11,'Mental Health'
0.049687,-0.250817,0.373666,31,Caregiving
2.589692,2.859774,2.328164,21,'Screenings and Vaccines'
0.075433,0.107494,0.032443,11,'Overall Health'
-0.391472,-0.213787,-0.569142,12,'Nutrition/Physical Activity/Obesity'
-1.091088,-1.121042,-0.995343,7,'Mental Health'
-0.199858,-0.232302,-0.164466,53,Caregiving
-1.469861,-1.361743,-1.585136,1,'Overall Health'
-1.443124,-1.371001,-1.524865,14,'Overall Health'
-1.117744,-1.0579,-1.160363,6,'Smoking and Alcohol Use'
1.898989,2.119157,1.682405,52,'Overall Health'
0.388354,0.239841,0.528648,36,'Overall Health'
-0.502876,-0.500776,-0.500261,18,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,37,'Overall Health'
-1.371825,-1.273795,-1.460289,38,'Smoking and Alcohol Use'
-1.022543,-0.968484,-1.057809,19,'Mental Health'
-1.523335,-1.403403,-1.649712,12,'Overall Health'
0.997942,1.004426,0.96825,30,'Screenings and Vaccines'
1.57369,1.679415,1.449931,6,'Screenings and Vaccines'
-1.309439,-1.232135,-1.369883,17,'Mental Health'
0.075433,0.107494,0.032443,32,'Overall Health'
-1.336176,-1.199733,-1.481815,11,'Mental Health'
0.997942,1.004426,0.96825,15,'Screenings and Vaccines'
2.576324,2.855145,2.306638,50,'Screenings and Vaccines'
1.043408,0.693469,1.294949,11,'Overall Health'
-0.516245,-0.759992,-0.177382,46,'Screenings and Vaccines'
0.963197,1.017489,0.890273,42,'Screenings and Vaccines'
0.089792,-0.236931,0.438242,14,'Nutrition/Physical Activity/Obesity'
-0.052805,-0.394312,0.330616,2,'Cognitive Decline'
0.075433,0.107494,0.032443,27,'Overall Health'
-0.739052,-0.695188,-0.775785,32,'Overall Health'
0.075433,0.107494,0.032443,19,'Overall Health'
-0.877193,-0.801651,-0.952292,50,'Smoking and Alcohol Use'
0.263582,0.392594,0.132583,38,'Overall Health'
0.075433,0.107494,0.032443,53,'Overall Health'
-1.411931,-1.310825,-1.52056,41,'Overall Health'
0.357161,0.457398,0.25743,12,'Overall Health'
-0.066173,0.059316,-0.194602,12,'Overall Health'
1.765304,1.971033,1.561863,13,'Overall Health'
0.997942,1.004426,0.96825,22,'Screenings and Vaccines'
1.506848,1.591467,1.402576,51,'Screenings and Vaccines'
0.120985,-0.172127,0.429632,14,'Overall Health'
-1.38965,-1.264537,-1.51195,54,'Smoking and Alcohol Use'
-1.117744,-1.0579,-1.160363,9,'Smoking and Alcohol Use'
-1.064351,-1.079383,-0.999648,17,'Mental Health'
1.34197,1.49889,1.183018,21,'Screenings and Vaccines'
-1.474317,-1.357114,-1.593746,10,'Smoking and Alcohol Use'
0.997942,1.004426,0.96825,32,'Screenings and Vaccines'
-1.211404,-1.116414,-1.301002,11,'Mental Health'
-1.220316,-1.158073,-1.266562,48,'Mental Health'
0.005125,-0.213787,0.240209,50,'Cognitive Decline'
-1.033158,-0.959032,-1.098664,18,'Mental Health'
-1.38965,-1.273795,-1.51195,16,'Overall Health'
-1.367369,-1.25065,-1.490425,45,'Overall Health'
0.075433,0.107494,0.032443,35,'Overall Health'
-0.324246,-0.3228,-0.315909,47,'Nutrition/Physical Activity/Obesity'
2.491657,2.771825,2.224842,12,'Overall Health'
0.075433,0.107494,0.032443,53,'Overall Health'
2.536218,2.790341,2.280808,31,'Screenings and Vaccines'
-1.024246,-0.912744,-1.133105,35,'Mental Health'
-0.618736,-0.662786,-0.556227,15,Caregiving
0.535407,0.587005,0.476988,17,'Screenings and Vaccines'
-0.681122,-0.843311,-0.43999,43,'Nutrition/Physical Activity/Obesity'
-0.38256,-0.547064,-0.177382,9,Caregiving
-0.264658,-0.447356,-0.051172,26,'Cognitive Decline'
-0.649929,-0.56558,-0.737039,32,'Overall Health'
-1.180211,-1.195104,-1.094359,10,Caregiving
0.79832,0.702727,0.864443,12,'Overall Health'
-0.324246,-0.3228,-0.315909,25,'Nutrition/Physical Activity/Obesity'
0.504214,0.253728,0.735291,31,'Cognitive Decline'
1.698462,1.785879,1.591998,39,Caregiving
1.51576,1.276705,1.635049,13,'Overall Health'
2.451551,2.707021,2.203317,52,'Overall Health'
-0.600911,-0.519291,-0.681074,28,'Overall Health'
-1.073263,-1.144187,-0.913547,36,'Mental Health'
0.075433,0.107494,0.032443,20,'Overall Health'
-0.993053,-0.922002,-1.055614,42,'Mental Health'
-1.269334,-1.25065,-1.240731,49,'Mental Health'
-0.329086,-0.375797,-0.267788,49,Caregiving
0.152178,0.138006,0.158413,7,'Overall Health'
-1.206948,-1.074754,-1.348358,11,'Smoking and Alcohol Use'
-0.324246,-0.3228,-0.315909,29,'Nutrition/Physical Activity/Obesity'
-0.324246,-0.3228,-0.315909,2,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,19,'Overall Health'
0.075433,0.107494,0.032443,15,'Overall Health'
-1.022543,-0.968484,-1.057809,41,'Mental Health'
-1.340632,-1.296939,-1.344053,17,'Cognitive Decline'
0.415091,0.499057,0.322005,13,'Screenings and Vaccines'
-0.2044,-0.28392,-0.097691,7,Caregiving
0.075433,0.107494,0.032443,32,'Overall Health'
-0.578631,-0.48226,-0.676768,28,'Nutrition/Physical Activity/Obesity'
2.112884,2.285796,1.932098,34,'Overall Health'
-1.113369,-1.046981,-1.17185,26,'Mental Health'
1.546953,1.355396,1.635049,34,'Screenings and Vaccines'
1.346426,1.531292,1.161492,33,'Screenings and Vaccines'
-0.2044,-0.28392,-0.097691,4,Caregiving
-1.189123,-1.08864,-1.283782,50,'Mental Health'
1.506848,1.753477,1.269119,21,'Screenings and Vaccines'
-0.239963,-0.422085,-0.022399,18,'Overall Health'
0.075433,0.107494,0.032443,37,'Overall Health'
-1.420843,-1.357114,-1.455984,27,'Smoking and Alcohol Use'
1.720743,1.836797,1.587693,14,'Overall Health'
-1.022543,-0.968484,-1.057809,40,'Mental Health'
1.346426,1.466488,1.221763,15,'Screenings and Vaccines'
0.722565,0.573119,0.842918,8,'Screenings and Vaccines'
-0.264658,-0.447356,-0.051172,6,'Cognitive Decline'
0.067511,-0.051777,0.192854,52,'Cognitive Decline'
0.997942,1.004426,0.96825,2,'Screenings and Vaccines'
2.52285,2.614444,2.341079,17,'Screenings and Vaccines'
-1.15793,-1.111785,-1.189071,47,Caregiving
-1.469861,-1.33397,-1.610967,6,'Overall Health'
0.660179,0.823077,0.498513,35,'Screenings and Vaccines'
0.620074,0.554603,0.67502,29,'Screenings and Vaccines'
2.081691,1.989549,2.05264,46,'Screenings and Vaccines'
-0.73014,-0.695188,-0.758565,11,'Smoking and Alcohol Use'
-0.075086,0.110233,-0.259178,12,'Overall Health'
0.116529,-0.144354,0.395192,13,'Overall Health'
-0.079542,0.0408,-0.198907,35,'Nutrition/Physical Activity/Obesity'
-0.2044,-0.28392,-0.097691,2,Caregiving
-0.342455,-0.310993,-0.371109,51,Caregiving
0.075433,0.107494,0.032443,15,'Overall Health'
-1.438668,-1.315454,-1.572221,16,'Overall Health'
1.88562,1.809023,1.871827,39,Caregiving
-0.231051,-0.181385,-0.285008,10,'Nutrition/Physical Activity/Obesity'
-1.411931,-1.296939,-1.52917,8,'Overall Health'
0.075433,0.107494,0.032443,3,'Overall Health'
0.997942,1.004426,0.96825,34,'Screenings and Vaccines'
-0.413753,-0.514662,-0.285008,38,Caregiving
1.448918,1.512777,1.368135,49,'Screenings and Vaccines'
1.319689,1.304478,1.294949,21,'Screenings and Vaccines'
0.997942,1.004426,0.96825,46,'Screenings and Vaccines'
-0.90393,-0.84794,-0.956597,16,'Nutrition/Physical Activity/Obesity'
-1.046526,-1.079383,-0.952292,39,Caregiving
-0.075086,-0.051777,-0.09989,37,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,22,'Overall Health'
-1.425299,-1.366372,-1.49473,12,'Overall Health'
0.075433,0.107494,0.032443,42,'Overall Health'
-1.469861,-1.357114,-1.589441,17,'Overall Health'
